City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
214,Eregli,TR,37.5133,34.0467,47.82,72,94,3.4,overcast clouds
215,Naryan-Mar,RU,67.6713,53.087,16.61,97,69,3.51,broken clouds
216,Ozu,JP,33.5,132.55,70.75,58,5,5.95,clear sky
217,Starodub,RU,52.5844,32.7633,41.97,92,100,10.89,overcast clouds
218,Pimentel,PE,-6.8367,-79.9342,62.67,87,33,12.08,scattered clouds
219,Souillac,MU,-20.5167,57.5167,73.4,71,6,8.37,clear sky
220,Bambanglipuro,ID,-7.95,110.2833,81.79,74,92,3.89,overcast clouds
221,Portel,BR,-1.9356,-50.8211,73.36,86,65,3.94,broken clouds
222,Bontang,ID,0.1333,117.5,81.77,80,100,3.8,overcast clouds
223,Port Moresby,PG,-9.4431,147.1797,86.72,55,82,16.26,broken clouds
224,Sibenik,HR,43.7272,15.9058,53.38,98,73,5.88,broken clouds
225,Pevek,RU,69.7008,170.3133,-5.75,99,100,3.49,overcast clouds
226,Mezen,RU,65.8522,44.24,31.3,97,95,6.44,overcast clouds
227,Kuala Terengganu,MY,5.3302,103.1408,80.56,81,100,6.24,overcast clouds
228,Laguna,US,38.421,-121.4238,52.05,78,75,6.91,broken clouds
229,Lewisporte,CA,49.2499,-55.0482,31.55,63,80,7.72,broken clouds
230,Boshnyakovo,RU,49.6333,142.1667,28.04,72,100,25.01,light snow
231,Benguela,AO,-12.5763,13.4055,72.57,80,99,3.67,overcast clouds
232,Lavrentiya,RU,65.5833,-171.0,22.33,74,100,4.07,overcast clouds
233,Panzhihua,CN,26.5851,101.7128,67.46,58,2,0.51,clear sky
234,Korla,CN,41.7597,86.1469,45.82,51,100,9.31,overcast clouds
235,Elko,US,41.0002,-115.5012,26.74,76,100,11.01,overcast clouds
236,Nicoya,CR,10.1483,-85.452,73.02,94,99,1.36,overcast clouds
237,Cozumel,MX,20.5083,-86.9458,80.08,78,3,5.01,clear sky
238,Beira,MZ,-19.8436,34.8389,72.97,85,3,5.5,clear sky
239,Port Blair,IN,11.6667,92.75,83.8,73,33,12.64,scattered clouds
240,Gigmoto,PH,13.7796,124.39,84.67,72,100,5.86,overcast clouds
241,Otjimbingwe,NA,-22.35,16.1333,64.9,49,0,0.54,clear sky
242,Chibombo,ZM,-14.6569,28.0706,64.71,92,100,5.5,light rain
243,Katangli,RU,51.7102,143.2326,27.73,72,100,25.26,overcast clouds
244,Ostrovnoy,RU,68.0531,39.5131,35.17,91,100,7.67,overcast clouds
245,Touros,BR,-5.1989,-35.4608,77.22,77,69,12.8,broken clouds
246,Ozernovskiy,RU,51.5,156.5167,38.3,75,100,18.61,overcast clouds
247,Faro,PT,37.0194,-7.9322,62.38,72,0,6.91,clear sky
248,Shimoda,JP,34.6667,138.95,68.11,56,4,14.0,clear sky
249,Port-Gentil,GA,-0.7193,8.7815,76.17,91,100,7.7,heavy intensity rain
250,Caravelas,BR,-17.7125,-39.2481,73.08,93,100,3.58,overcast clouds
251,Shubarkuduk,KZ,49.1447,56.4872,28.76,89,88,4.09,overcast clouds
252,Roros,NO,62.5747,11.3842,26.44,93,75,0.0,broken clouds
