City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
205,Cukai,MY,2022-10-27 21:52:52,4.25,103.4167,78.01,90,100,3.42
206,Lalibela,ET,2022-10-27 21:52:53,12.0333,39.0333,56.3,65,29,8.12
207,Eastbourne,GB,2022-10-27 21:52:53,50.7687,0.2845,65.48,87,94,1.99
208,Ixtapa,MX,2022-10-27 21:52:54,20.7,-105.2,85.23,72,6,5.99
209,Bogale,MM,2022-10-27 21:52:54,16.2833,95.4,75.25,91,90,5.53
210,Ulaangom,MN,2022-10-27 21:52:55,49.9811,92.0667,26.17,74,82,2.89
211,Saldanha,ZA,2022-10-27 21:52:56,-33.0117,17.9442,60.85,82,1,23.82
212,Palmer,US,2022-10-27 21:52:56,42.1584,-72.3287,62.2,43,0,11.5
213,Hasaki,JP,2022-10-27 21:52:57,35.7333,140.8333,50.22,62,25,5.82
214,Petropavlovsk-Kamchatskiy,RU,2022-10-27 21:52:57,53.0452,158.6483,36.19,65,20,13.42
215,Cabo San Lucas,MX,2022-10-27 21:51:25,22.8909,-109.9124,83.5,68,23,3.0
216,Souillac,MU,2022-10-27 21:52:58,-20.5167,57.5167,73.78,78,40,10.36
217,Atar,MR,2022-10-27 21:52:58,20.5169,-13.0499,83.86,11,69,7.56
218,Hyeres,FR,2022-10-27 21:52:59,43.1167,6.1167,66.69,85,54,2.3
219,San Quintin,MX,2022-10-27 21:52:59,30.4833,-115.95,68.68,61,0,12.82
220,Sinnamary,GF,2022-10-27 21:53:00,5.3833,-52.95,80.58,79,96,16.53
221,Asind,IN,2022-10-27 21:53:00,25.7333,74.3333,73.09,36,0,5.32
222,Oktyabrskiy,RU,2022-10-27 21:53:01,54.4815,53.471,29.7,74,100,4.83
223,Asau,RO,2022-10-27 21:53:01,46.4333,26.4,43.72,83,0,3.74
224,Methoni,GR,2022-10-27 21:51:07,36.8197,21.7049,68.22,66,0,6.06
225,Savannakhet,LA,2022-10-27 21:53:02,16.566,104.751,71.37,85,67,10.94
226,Santa Fe,AR,2022-10-27 21:50:10,-31.6333,-60.7,85.95,44,0,3.27
227,Isla Vista,US,2022-10-27 21:54:03,34.4133,-119.861,77.0,69,1,4.0
228,Dikson,RU,2022-10-27 21:54:04,73.5069,80.5464,25.57,94,100,17.4
229,Airai,TL,2022-10-27 21:54:05,-8.9266,125.4092,63.1,85,100,0.4
230,Hongjiang,CN,2022-10-27 21:54:05,27.11,109.9956,56.57,94,100,3.49
231,Pasni,PK,2022-10-27 21:54:06,25.2631,63.471,82.24,40,0,11.77
232,Chapada Dos Guimaraes,BR,2022-10-27 21:54:06,-15.4606,-55.7497,78.46,43,81,4.27
233,Shymkent,KZ,2022-10-27 21:51:18,42.3,69.6,43.39,81,100,2.24
234,Port-Cartier,CA,2022-10-27 21:54:07,50.0334,-66.8654,47.88,59,6,16.04
235,Alta Floresta,BR,2022-10-27 21:54:07,-9.8756,-56.0861,73.99,93,96,2.68
236,Xiamen,CN,2022-10-27 21:54:08,24.4798,118.0819,72.25,73,20,2.24
237,Sur,OM,2022-10-27 21:54:08,22.5667,59.5289,80.67,49,0,2.59
238,Ornskoldsvik,SE,2022-10-27 21:54:09,63.2909,18.7153,40.15,100,100,3.44
239,Catuday,PH,2022-10-27 21:54:09,16.2923,119.8062,78.82,76,100,4.63
240,Balotra,IN,2022-10-27 21:54:10,25.8333,72.2333,77.04,37,0,6.31
241,Sao Felix Do Xingu,BR,2022-10-27 21:49:48,-6.6447,-51.995,73.08,98,91,1.7
242,Frankfort,ZA,2022-10-27 21:54:11,-27.2667,28.4833,58.33,83,98,6.11
243,Baykit,RU,2022-10-27 21:54:11,61.67,96.37,25.5,96,99,3.29
244,Lagoa,PT,2022-10-27 21:54:11,39.05,-27.9833,62.11,68,51,22.77
245,Aras,ES,2022-10-27 21:54:12,42.5617,-2.356,73.83,53,0,6.91
246,Pundaguitan,PH,2022-10-27 21:54:12,6.3711,126.1689,82.89,77,91,15.01
247,Calvinia,ZA,2022-10-27 21:54:13,-31.4707,19.776,60.46,49,2,5.48
248,Port Blair,IN,2022-10-27 21:54:14,11.6667,92.75,79.09,86,97,5.64
249,Harper,LR,2022-10-27 21:54:14,4.375,-7.7169,77.43,86,95,5.1
250,Natal,BR,2022-10-27 21:54:14,-5.795,-35.2094,79.45,78,20,13.8
251,Sorland,NO,2022-10-27 21:54:15,67.667,12.6934,48.06,94,98,27.4
252,Thompson,CA,2022-10-27 21:54:15,55.7435,-97.8558,35.76,93,100,6.91
253,Kodinsk,RU,2022-10-27 21:54:16,58.6881,99.1844,30.2,70,100,3.15
254,Portland,US,2022-10-27 21:50:16,45.5234,-122.6762,63.95,59,40,5.75
255,Topolobampo,MX,2022-10-27 21:54:17,25.6,-109.05,82.09,49,1,11.03
256,Lebu,CL,2022-10-27 21:54:17,-37.6167,-73.65,56.08,81,79,7.94
257,Novobelokatay,RU,2022-10-27 21:54:18,55.7062,58.9549,27.73,73,81,10.31
258,Port Elizabeth,ZA,2022-10-27 21:51:52,-33.918,25.5701,64.69,82,40,14.97
259,Grand-Bourg,GP,2022-10-27 21:54:18,15.8835,-61.3148,82.6,76,100,19.28
260,Wageningen,NL,2022-10-27 21:54:19,51.9667,5.6667,62.98,89,100,5.75
261,Rongcheng,CN,2022-10-27 21:54:19,30.634,117.8517,59.7,95,100,8.48
262,Eyl,SO,2022-10-27 21:54:20,7.9803,49.8164,78.35,84,28,5.79
263,Bengkulu,ID,2022-10-27 21:54:20,-3.8004,102.2655,73.99,91,91,3.15
264,Chissamba,AO,2022-10-27 21:54:21,-12.1667,17.3333,65.14,85,98,4.12
265,Shimoda,JP,2022-10-27 21:54:21,34.6667,138.95,57.11,72,17,7.76
266,Kokopo,PG,2022-10-27 21:54:22,-4.352,152.2633,82.11,73,42,3.96
267,Bandarbeyla,SO,2022-10-27 21:54:22,9.4942,50.8122,78.42,83,4,6.04
268,Lavrentiya,RU,2022-10-27 21:54:23,65.5833,-171.0,23.27,69,86,7.87
269,Tura,IN,2022-10-27 21:53:20,25.5198,90.2201,63.84,95,0,4.36
270,Samarai,PG,2022-10-27 21:53:11,-10.6167,150.6667,83.05,68,93,9.15
271,Vao,NC,2022-10-27 21:54:24,-22.6667,167.4833,74.3,81,57,8.86
272,Panzhihua,CN,2022-10-27 21:55:25,26.5851,101.7128,59.4,85,1,2.06
273,Makakilo City,US,2022-10-27 21:55:25,21.3469,-158.0858,83.01,63,75,13.8
274,Rapid City,US,2022-10-27 21:55:26,44.0805,-103.231,57.29,29,6,5.01
275,Fairbanks,US,2022-10-27 21:52:11,64.8378,-147.7164,12.81,85,100,3.44
276,Alekseyevsk,RU,2022-10-27 21:55:27,57.8406,108.3492,25.11,84,19,4.63
277,Shingu,JP,2022-10-27 21:55:27,33.7333,135.9833,56.5,68,30,5.14
278,Chincha Alta,PE,2022-10-27 21:55:28,-13.4099,-76.1323,66.79,72,12,6.73
279,Morros,BR,2022-10-27 21:55:28,-9.4467,-46.3003,79.2,64,80,3.06
280,Prieska,ZA,2022-10-27 21:55:29,-29.6641,22.7474,72.79,43,40,9.33
281,Deputatskiy,RU,2022-10-27 21:55:30,69.3,139.9,9.54,90,98,7.56
282,Russell,US,2022-10-27 21:55:31,32.3502,-85.1999,76.28,46,0,5.93
283,Sliven,BG,2022-10-27 21:55:31,42.6858,26.3292,55.76,77,0,2.86
284,Viedma,AR,2022-10-27 21:55:32,-40.8135,-62.9967,80.17,11,52,25.59
285,Chernyshevskiy,RU,2022-10-27 21:55:32,63.0128,112.4714,25.03,96,100,4.36
286,Nuuk,GL,2022-10-27 21:55:33,64.1835,-51.7216,40.87,93,100,20.2
287,Rocha,UY,2022-10-27 21:55:33,-34.4833,-54.3333,60.13,73,0,4.59
288,Rawson,AR,2022-10-27 21:55:34,-43.3002,-65.1023,69.49,23,100,16.71
289,Phalombe,MW,2022-10-27 21:55:34,-15.8064,35.6507,74.86,36,4,1.16
290,Altamira,BR,2022-10-27 21:55:35,-3.2033,-52.2064,89.69,58,20,4.61
291,Provideniya,RU,2022-10-27 21:55:35,64.3833,-173.3,19.51,63,0,2.24
292,Zhigansk,RU,2022-10-27 21:55:36,66.7697,123.3711,9.5,95,97,3.2
